procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 2  0   4352 1115696 984360 2957536    0    0     0   152 2200 2388  4  4 92  0  0 2021-11-09 10:26:06
 3  0   4352 1115820 984360 2957548    0    0     0  1176 3068 3713 11  5 84  0  0 2021-11-09 10:26:07
 3  0   4352 1115728 984368 2958128    0    0     0  1256 2366 3100  7  5 87  1  0 2021-11-09 10:26:08
 1  0   4352 1115760 984376 2958132    0    0     0   636 2259 2518  6  4 90  0  0 2021-11-09 10:26:09
 2  0   4352 1115760 984400 2957568    0    0     0   984 3193 3319  8  5 87  0  0 2021-11-09 10:26:10
 0  0   4352 1115760 984400 2957576    0    0     0   160 2303 2310  9  3 82  6  0 2021-11-09 10:26:11
 1  0   4352 1115444 984400 2957672    0    0     0  1368 4245 4937 11  7 82  0  0 2021-11-09 10:26:12
 2  0   4352 1114908 984408 2958156    0    0     0   908 2820 3352  8  6 86  1  0 2021-11-09 10:26:13
 0  0   4352 1114844 984416 2958100    0    0     0   512 2778 2850  5  4 91  0  0 2021-11-09 10:26:14
 1  0   4352 1115128 984416 2957608    0    0     0   456 2576 2667  8  5 88  0  0 2021-11-09 10:26:15
 0  0   4352 1114844 984420 2957608    0    0     0   344 2780 2998  5  4 92  0  0 2021-11-09 10:26:16
 0  0   4352 1115096 984420 2957680    0    0     0  1212 3225 3989 11  6 82  0  0 2021-11-09 10:26:17
 3  0   4352 1115096 984428 2957688    0    0     0  1100 2702 3238  8  5 87  1  0 2021-11-09 10:26:18
 1  0   4352 1114624 984440 2958128    0    0     0   672 3297 3473  5  5 90  0  0 2021-11-09 10:26:19
 1  0   4352 1114372 984440 2958204    0    0     0   296 2303 2461  7  4 89  0  0 2021-11-09 10:26:20
 1  0   4352 1114656 984440 2957700    0    0     0   624 2012 2078  5  3 92  0  0 2021-11-09 10:26:21
 4  0   4352 1113176 984440 2957704    0    0     0  1252 4024 4834 11  6 83  0  0 2021-11-09 10:26:22
 2  0   4352 1113212 984448 2958732    0    0     0   596 2748 3276  8  5 87  1  0 2021-11-09 10:26:23
 2  0   4352 1113216 984460 2959232    0    0     0   808 3484 3476  9  4 86  0  0 2021-11-09 10:26:24
